Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
AA,Company 44,Rating agency 5,8/16/2005,Energy,0.885237125,0.550895603,0.14346857,36.8175195,0.094024081,0.188131342,1.009959139,0.190213112,0.143913354,0.504413358,0.160120912,1.541118673,3.390180691,1.912761043,1.769042034,0,0.547603248,16.92678521,10.4331757,1.088335687,0.190116552,1.274560211,31.32944108,0.153534039,0
BB,Company 135,Rating agency 3,4/28/2009,Basic Industries,2.052827911,0.511835041,0.26038495,0,0.094189455,0.13276184,0.121489602,0.137468843,0.130517717,0.223958635,0.434201433,1.388711526,3.344360555,2.253042523,0.686884916,0.284568811,0.998441565,6.286350177,12.01626103,3.298016065,0.133657299,0.959816986,6.333348846,0.032842542,13.69678966
CCC,Company 118,Rating agency 3,8/3/2010,Health Care,1.340031649,1.090468285,0.235971229,45.13722927,0.121168977,0.017073824,1.0044734,0.069100955,0.131112216,0.023242041,0.635297923,1.093697756,2.137543442,3.829918205,0.795181028,-6.228259273,1.001744147,0.965079773,,4.811878556,0.017046022,15.62536357,0.973798896,0.051749423,0
CCC,Company 118,Rating agency 3,8/3/2010,Health Care,1.340031649,1.090468285,0.235971229,45.13722927,0.121168977,0.017073824,1.0044734,0.069100955,0.131112216,0.023242041,0.635297923,1.093697756,2.137543442,3.829918205,0.795181028,-6.228259273,1.001744147,0.965079773,,4.811878556,0.017046022,15.62536357,0.973798896,0.051749423,0
BBB,Company 309,Rating agency 3,8/31/2010,Energy,1.393784174,0.439913549,0.027211181,21.43561587,0.199471394,0.201419663,0.990007562,0.202474787,0.08360873,0.090809243,0.211588925,0.418873954,0.487557421,1.518486564,0.606278453,0.004394823,-0.524238712,-2.024696925,,2.550233412,0.200256196,11.76062347,3.911740071,0.274350216,0
BBB,Company 56,Rating agency 3,9/30/2010,Miscellaneous,1.187288451,0.514919682,0.190278118,53.10290003,0.054139747,0.097922254,0.508210955,0.099159112,0.034475497,0.089894908,,0.639344469,12.74171997,-88.82862067,1.016996475,0.386875807,0.881114782,4.040228134,2.519301432,-88.14864982,0.099138203,10.45917465,4.61506864,0.176764585,0.077433965
BB,Company 96,Rating agency 3,11/3/2010,Technology,1.301075446,0.597312999,0.206298453,38.02280052,0.012812583,0.018366742,0.074278329,0.024210814,0.026665018,0.088756532,0.108421321,2.117047844,9.152856788,2.998592502,0.754615935,0.309391307,0.067505243,0.134037929,,4.060735277,0.018411207,4.357798754,1.983754864,0.031669555,4.518718987
BB,Company 437,Rating agency 3,11/19/2010,Basic Industries,4.974491461,4.653805764,2.402971411,208.3234329,0.501714642,0.775658426,1.666514321,0.837140922,0.206794337,0.386705754,0.079495839,0.406378791,4.633125065,0,0,-0.350350273,1.270039405,-0.236367105,6.424199427,0.383804025,0.781117395,7.535758472,-0.183911596,-0.043853674,58.85549779
BB,Company 437,Rating agency 3,11/19/2010,Basic Industries,4.974491461,4.653805764,2.402971411,208.3234329,0.501714642,0.775658426,1.666514321,0.837140922,0.206794337,0.386705754,0.079495839,0.406378791,4.633125065,0,0,-0.350350273,1.270039405,-0.236367105,6.424199427,0.383804025,0.781117395,7.535758472,-0.183911596,-0.043853674,58.85549779
B,Company 586,Rating agency 3,12/17/2010,Consumer Services,0.890879093,0.86921441,0.05329359,229.6694308,0.268544983,0.366209985,0.645544068,0.380972208,0.063668325,0.112893489,0.148562166,0.232947839,0.489276023,1.119658108,0.476537193,0.25877469,0.578013158,0.380378111,,2.345653101,0.363612525,12.33242737,0.651120388,0.287063889,0.699499401
B,Company 586,Rating agency 3,12/17/2010,Consumer Services,0.890879093,0.86921441,0.05329359,229.6694308,0.268544983,0.366209985,0.645544068,0.380972208,0.063668325,0.112893489,0.148562166,0.232947839,0.489276023,1.119658108,0.476537193,0.25877469,0.578013158,0.380378111,,2.345653101,0.363612525,12.33242737,0.651120388,0.287063889,0.699499401
BBB,Company 126,Rating agency 3,12/20/2010,Basic Industries,3.738410485,2.559168861,1.218740571,56.77958682,0.001678341,0.003361643,0.121088426,0.009168049,0.00125969,0.002915461,0.003501602,0.761974996,1.943566769,1.770861634,0.635726801,0.501327437,0.622891487,1.655707771,8.547110954,2.748558268,0.003371926,21.43925924,2.667638669,0.095164009,8.134319093
BBB,Company 126,Rating agency 3,12/20/2010,Basic Industries,3.738410485,2.559168861,1.218740571,56.77958682,0.001678341,0.003361643,0.121088426,0.009168049,0.00125969,0.002915461,0.003501602,0.761974996,1.943566769,1.770861634,0.635726801,0.501327437,0.622891487,1.655707771,8.547110954,2.748558268,0.003371926,21.43925924,2.667638669,0.095164009,8.134319093
BBB,Company 198,Rating agency 3,12/22/2010,Health Care,2.405952508,1.718992539,0.728198538,46.64098283,0.189224408,0.259789812,0.910423882,0.266543711,0.110287349,0.17478304,0.164974644,0.585782903,2.86155994,0.493642326,0.32954378,0.270307456,0.891588174,5714345.702,,1.487986784,0.259662246,0.027368544,6498186.096,0.346351731,2.450978983
A,Company 220,Rating agency 3,12/23/2010,Consumer Services,1.120175655,0.769588894,0.245069241,55.05953893,0.103720104,0.164004264,0.993344625,0.169431786,0.056760193,0.115242088,0.105371465,0.553809042,2.138959185,0.801756828,0.43107599,0.371126571,0.679196155,2.344885593,,1.850921228,0.175974706,8.868642474,3.440671178,0.17140308,0
B,Company 296,Rating agency 3,1/13/2011,Transportation,1.735940818,1.56957957,1.212880128,39.35168327,0.215579508,0.21463761,0.439207734,0.258718423,0.039549525,0.072719856,0.137491152,0.183896816,0.258648328,2.210245915,0.645344059,0.002806203,-2.102551123,-38.95711961,,3.470823144,0.370984248,6.723162646,18.58639902,0.279397048,7.775211553
A,Company 70,Rating agency 3,1/25/2011,Technology,1.707857679,1.056934492,0.103468763,59.80980111,0.068226551,0.074641515,0.296958766,0.086062585,0.053888076,0.082340578,0.12696447,0.798788383,5.531230941,1.342102741,0.565504746,0.096262121,0.689756525,2.643702812,,2.352119314,0.085110033,11.43906208,3.781460709,0.094399838,6.849027221
BBB,Company 310,Rating agency 3,1/28/2011,Energy,1.126382844,1.545495054,0.120496214,102.3394818,0.084950501,0.103830935,0.213377359,0.126952909,0.054940751,0.103067472,0.129464072,0.639879792,0.942701231,1.356470508,0.574484537,0.172428513,0.151521942,0.518311669,,2.35050923,0.142928192,8.276138542,3.437485712,0.204639199,2.293092925
B,Company 446,Rating agency 3,2/16/2011,Consumer Services,2.125046074,1.921347013,1.360646741,32.81902991,-0.006425869,-0.001912482,0.999351774,0.057506033,-0.004512312,-0.001521664,,0.704529911,0.349723209,1.477324182,0.599680512,-2.339775876,0.262400922,0.41566624,1.261760377,2.493622263,-0.001917187,7.514421751,1.591016972,0.270628193,0
BBB,Company 68,Rating agency 3,3/3/2011,Energy,1.203769178,0.883626467,0.299401938,96.26766904,0.022376766,0.01944213,0.425899128,0.019374801,0.008096289,0.008633466,0.017918358,0.361649322,0.542917067,1.175087073,0.54599493,-0.30309741,0.160397671,0.613869859,,2.194467528,0.019411681,11.34111741,3.886283911,0.262797257,6.835072729
BB,Company 270,Rating agency 3,3/15/2011,Public Utilities,0.756585017,0.660192363,0.448808087,39.81843107,0.265198179,0.358939186,0.812344948,0.37352772,0.144635493,0.310785738,0.411994554,0.547003429,0.91920477,1.858411252,0.651596227,0.249484526,0.701362586,332.1592974,,2.844450665,0.398205898,0.726566251,481.4018171,0.597123653,1.004269999
BBB,Company 186,Rating agency 3,3/18/2011,Energy,1.249225054,0.964214875,0.428735932,42.61511826,0.202511736,0.309916522,0.404035464,0.336398421,0.157559235,0.290888198,0.302129548,0.783610777,1.472406058,0.916192659,0.477177838,0.346380405,0.28090266,100.4017107,,1.922982003,0.307512394,0.432864988,363.5037492,0.355767219,4.925565491
A,Company 67,Rating agency 3,3/24/2011,Public Utilities,0.991426061,0.807964564,0.020373379,46.97549054,0.069144896,0.092225144,1.000238367,0.146570812,0.025263522,0.037507152,0.094145012,0.365214582,0.525855107,2.700685622,0.732037347,0.248743821,-0.04311471,-0.263199397,2.830465278,3.702671545,0.093400696,8.143451198,6.047676136,0.198874904,7.007842347
BB,Company 460,Rating agency 3,3/24/2011,Capital Goods,2.424556032,1.261382371,0.501930119,71.62147207,0.007376665,0.01061789,0.222267364,0.017689117,0.005522818,0.009765829,0.013629342,0.736297651,4.100050717,1.459555035,0.592476479,0.313635248,0.509776901,0.720894415,2.878915548,2.460622947,0.01077335,8.933742435,1.417710742,0.064201023,5.397878079
BBB,Company 261,Rating agency 3,3/29/2011,Energy,1.215875813,0.891897353,0.628133381,43.91227306,0.457601252,0.359729462,1.008765897,0.358274683,0.136825238,0.124912391,0.237184865,0.301895469,0.506650553,0.706514189,0.416808506,0.347200743,-0.181459088,-2.301939054,,1.706181774,0.358593514,7.196075176,12.46965018,0.546561656,0
